SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
524444,EVEXIA      ,X ,Q,149.95,149.95,141.10,144.30,145.00,147.30,109,118756,17334193.00,
524470,SYNCOM FORM.,X ,Q,3.17,3.22,3.12,3.18,3.18,3.16,3124,3799950,12119503.00,
524480,RIDHI SIDHI ,X ,Q,259.00,265.00,243.90,252.40,253.90,258.20,110,4522,1145773.00,
524488,SVCIND      ,XT,Q,1.25,1.33,1.21,1.27,1.29,1.27,86,45840,58048.00,
524494,IPCA LAB LTD,A ,Q,1954.75,1954.80,1888.00,1898.05,1904.95,1947.70,2665,18692,35741075.00,
524500,KILITCH DRUG,B ,Q,90.80,90.90,89.00,89.65,89.50,91.95,171,6101,549751.00,
524502,RAAJMEDISAFE,P ,Q,10.66,10.66,9.66,9.66,9.66,10.16,2,700,7262.00,
524506,CORAL LAB.  ,X ,Q,383.80,383.80,371.00,383.80,383.80,319.85,322,26592,10180840.00,
524518,KREBS BIOCHM,B ,Q,113.40,115.00,110.10,111.10,115.00,113.70,74,909,101141.00,
524520,KMC SHIL    ,X ,Q,23.85,23.85,23.10,23.40,23.45,23.30,497,71492,1683179.00,
524522,LAFFANS PETR,X ,Q,15.22,15.22,13.78,15.16,15.16,14.50,15,1515,20897.00,
524534,BHASKAR AGRO,XT,Q,30.20,31.40,30.20,30.50,30.50,30.80,12,1448,44335.00,
524542,SUKJIT STRCH,X ,Q,189.00,189.00,185.60,186.60,186.55,184.35,63,3043,572350.00,
524558,NEULAND LAB.,A ,Q,1935.20,2075.00,1895.00,1963.85,1955.00,1942.40,1550,11808,23434144.00,
524564,GAYATRI BIO ,XT,Q,3.84,3.84,3.65,3.65,3.65,3.84,5,304,1112.00,
524570,PODDAR PIGM.,B ,Q,197.05,202.00,195.60,198.65,198.10,196.00,156,3708,740681.00,
524572,PHARMAIDS PH,X ,Q,13.74,14.45,13.74,13.75,13.74,14.46,143,12329,170633.00,
524576,VIVID IND   ,X ,Q,18.10,18.80,17.90,18.70,18.75,18.80,37,5887,108621.00,
524580,PRIYA LTD.  ,X ,Q,10.17,10.17,10.17,10.17,10.17,10.70,1,100,1017.00,
524582,TIRUPATI STA,XT,Q,38.00,40.15,38.00,39.50,39.50,38.25,44,7842,311818.00,
524592,JD ORGOCHEM ,X ,Q,2.86,2.86,2.86,2.86,2.86,2.99,1,100,286.00,
524594,ASHOK-ALCO  ,X ,Q,85.00,85.00,78.85,81.35,80.20,82.95,74,5435,437546.00,
524598,AKSHARCHEM I,B ,Q,263.75,286.20,263.75,278.25,277.00,264.30,1667,32807,9167616.00,
524606,BERYL DRUGS ,XT,Q,8.00,8.00,7.60,8.00,8.00,8.00,3,202,1536.00,
524622,ISTRNETWK   ,X ,Q,2.18,2.28,2.18,2.28,2.28,2.18,5,404,891.00,
524624,GAGAN GASES ,X ,Q,7.00,7.00,7.00,7.00,7.00,7.00,1,2,14.00,
524632,SHUKRAPHAR  ,X ,Q,42.90,42.90,42.35,42.35,42.35,39.80,4,49,2081.00,
524634,ALU FLUORIDE,X ,Q,287.40,287.40,265.25,287.40,287.40,273.75,554,34795,9897277.00,
524640,ARCHITORG   ,X ,Q,23.55,25.90,23.55,24.95,25.00,25.00,21,6789,164492.00,
524648,INDO AMINES ,X ,Q,93.90,100.00,89.25,91.20,91.20,92.70,731,60005,5600683.00,
524654,NATURAL CAPS,X ,Q,95.90,95.90,94.00,94.15,95.65,94.60,36,1322,125461.00,
524663,BH.IMMUN&BIO,T ,Q,80.85,80.85,80.85,80.85,80.85,82.50,535,49308,3986551.00,
524667,SOTL        ,B ,Q,968.00,970.65,905.00,919.70,926.60,950.45,836,6698,6206983.00,
524669,HESTER BISC ,A ,Q,1725.15,1725.15,1691.00,1692.95,1691.25,1695.55,43,72,122004.00,
524675,KABSONS INDU,XT,Q,7.24,7.24,7.10,7.10,7.10,7.24,63,8552,60950.00,
524687,BASANT AGRO ,X ,Q,6.60,6.89,6.58,6.66,6.65,6.67,95,37918,251109.00,
524703,SANDU PHARMA,X ,Q,30.15,30.15,30.15,30.15,30.15,30.65,3,138,4160.00,
524709,NACLIND     ,B ,Q,39.10,39.80,37.90,38.05,38.05,38.90,259,13181,509166.00,
524711,VISTA PHARMA,X ,Q,9.50,9.75,9.21,9.30,9.21,9.30,44,16772,158553.00,
524715,SUN PHARMA. ,A ,Q,653.70,653.70,622.65,627.25,627.25,643.50,9013,498929,316053742.00,
524717,TITAN BIOTEC,X ,Q,196.80,215.00,193.10,200.50,200.50,191.65,2338,190344,39007292.00,
524727,SDL         ,X ,Q,12.60,14.40,12.60,13.35,12.75,13.10,13,769,10846.00,
524731,JENBURKT PH.,X ,Q,413.00,415.00,408.00,411.60,413.00,411.55,96,2431,998743.00,
524735,HIKAL LTD.  ,A ,Q,168.70,169.10,166.50,166.85,166.75,168.05,424,24760,4149945.00,
524742,CAPLIN POINT,A ,Q,465.40,472.20,465.00,467.35,467.35,465.40,899,12900,6038245.00,
524748,LINK PHARMA ,X ,Q,27.40,30.00,25.00,28.25,28.60,28.20,42,3385,93836.00,
524752,DECIPHER    ,X ,Q,37.95,38.00,36.00,37.50,37.50,37.75,40,2196,82377.00,
524768,EMMESSAR BIO,X ,Q,18.50,18.60,17.55,18.60,18.60,18.45,17,4569,81799.00,
524774,NGL FINE CHM,X ,Q,1565.00,1565.00,1505.00,1543.05,1539.00,1507.30,180,2926,4495994.00,
524790,EVEREST ORG.,X ,Q,249.85,252.00,239.00,244.70,245.55,241.10,74,2880,711486.00,
524804,AUROB.PHARMA,A ,Q,952.00,952.00,924.10,929.90,929.90,935.10,2568,100809,94128381.00,
524808,PHYTOCHEM I.,X ,Q,24.35,26.55,24.35,24.90,26.25,25.35,33,2351,58913.00,
524816,NATCO PHARM ,A ,Q,862.00,883.00,851.10,854.50,852.85,884.55,2111,42590,36707657.00,
524818,DYNAMIC IND.,X ,Q,43.35,43.35,41.80,42.55,42.10,42.50,80,18858,802437.00,
524820,PANAMA PETRO,B ,Q,138.45,141.00,135.05,137.25,137.25,135.45,766,39904,5526622.00,
